Date,Flight number,From,To,Dep time,Arr time,Duration,Airline,Aircraft,Registration,Seat number,Seat type,Flight class,Flight reason,Note,Dep_id,Arr_id,Airline_id,Aircraft_id
2019/11/21,2P2638,Manila / Ninoy Aquino International (MNL/RPLL),Nanjing / Nanjing (NKG/ZSNJ),14:00:00,17:10:00,3:10:00,Air Philippines Corporation (2P/GAP),Airbus A320-200 (A320),,,0,0,0,1,1898,2066,944,2059
2019/11/21,2P9741,Manila / Ninoy Aquino International (MNL/RPLL),Hangzhou / Xiaoshan (HGH/ZSHC),12:30:00,16:00:00,3:30:00,Philippine Airlines (PR/PAL),Airbus A320 (A320),,,0,0,0,4,1898,1121,597,27
2019/12/22,3U3848,Bangkok / Suvarnabhumi (BKK/VTBS),Chengdu / Shuangliu (CTU/ZUUU),12:05:00,15:55:00,2:50:00,Sichuan Airlines (3U/CSC),Airbus A320-200 (A320),,,0,0,0,3,331,633,915,2059
2019/12/21,3U8288,Chiang Rai / Mae Fah Luang (CEI/VTCT),Chengdu / Shuangliu (CTU/ZUUU),12:50:00,15:55:00,2:05:00,Sichuan Airlines (3U/CSC),Airbus A321-200 (A321),,,0,0,0,6,3918,633,915,2076
2020/6/11,3U8392,Cairo / Cairo (CAI/HECA),Chengdu / Shuangliu (CTU/ZUUU),21:00:00,12:10:00,9:10:00,Sichuan Airlines (3U/CSC),Airbus A330-200 (A332),,,0,0,0,5,475,633,915,30
2020/6/11,3U8502,Vancouver / Vancouver (YVR/CYVR),Chengdu / Shuangliu (CTU/ZUUU),0:15:00,4:40:00,13:25:00,Sichuan Airlines (3U/CSC),Airbus A350-900 (A359),,,0,0,0,5,3466,633,915,2110
2020/6/12,3U8502,Vancouver / Vancouver (YVR/CYVR),Chengdu / Shuangliu (CTU/ZUUU),0:15:00,4:40:00,13:25:00,Sichuan Airlines (3U/CSC),Airbus A350-900 (A359),,,0,0,0,3,3466,633,915,2110
2019/11/21,5J308,Manila / Ninoy Aquino International (MNL/RPLL),Guangzhou / Canton-Baiyun (CAN/ZGGG),16:30:00,19:30:00,3:00:00,Cebu Pacific (5J/CEB),Airbus A330-200 (A332),,,0,0,0,2,1898,478,906,30
2020/7/15,7C8501,Seoul / Incheon (ICN/RKSI),Weihai / Dashuibo (WEH/ZSWH),10:10:00,10:50:00,1:40:00,Jeju Air (7C/JJA),Boeing 737-800 (B738),,,0,0,0,3,3602,3792,1090,231
2019/12/21,8M711,Yangon / Mingaladon (RGN/VYYY),Guangzhou / Canton-Baiyun (CAN/ZGGG),8:40:00,13:15:00,2:35:00,Myanmar Airways International (8M/MMA),Airbus A320-200 (A320),,,0,0,0,5,2513,478,1049,2059
2019/11/25,8M711,Yangon / Mingaladon (RGN/VYYY),Guangzhou / Canton-Baiyun (CAN/ZGGG),8:40:00,13:15:00,2:35:00,Myanmar Airways International (8M/MMA),Airbus A319-200 (A319),,,0,0,0,2(MNL-RGN-CAN),2513,478,1049,2074
2019/11/21,8Y8300,Manila / Ninoy Aquino International (MNL/RPLL),Zhengzhou / Zhengzhou (CGO/ZHCC),3:30:00,7:10:00,3:40:00,Pan Pacific Airlines (8Y/AAV),Airbus A320 (A320),,,0,0,0,3,1898,536,2433,27
2020/2/5,9C6218,Tokyo / Narita (NRT/RJAA),Shanghai / Pudong (PVG/ZSPD),20:00:00,22:15:00,3:15:00,Spring Airlines (9C/CQH),Airbus A320-200 (A320),,,0,0,0,7,2105,3653,1294,2059
2019/12/2,9C6242,Phnom Penh / Pochentong (PNH/VDPP),Nanjing / Nanjing (NKG/ZSNJ),15:05:00,21:00:00,4:55:00,Spring Airlines (9C/CQH),Airbus A320-200 (A320),,,0,0,0,3,2362,2066,1294,2059
2019/12/21,9C6396,Osaka / Kansai (KIX/RJBB),Changzhou / Benniu (CZX/ZSCG),16:55:00,18:50:00,2:55:00,Spring Airlines (9C/CQH),Airbus A320-200 (A320),,,0,0,0,5,3597,4508,1294,2059
2019/12/21,9C8570,Jeju / Jeju International (CJU/RKPC),Shanghai / Pudong (PVG/ZSPD),21:15:00,21:45:00,1:30:00,Spring Airlines (9C/CQH),Airbus A320-200 (A320),,,0,0,0,1,565,3653,1294,2059
2020/11/6,AA127,DFW,PVG,14:40:00,23:05:00,-,AA,-,-,-,-,-,-,"5,7",-,-,-,-
2020/2/21,AC25,Vancouver / Vancouver (YVR/CYVR),Shanghai / Pudong (PVG/ZSPD),11:10:00,16:30:00,14:20:00,Air Canada (AC/ACA),Boeing 777-300ER (B77W),,,0,0,0,5,3466,3653,13,2023
2020/2/22,AC25,Vancouver / Vancouver (YVR/CYVR),Shanghai / Pudong (PVG/ZSPD),11:10:00,16:30:00,14:20:00,Air Canada (AC/ACA),Boeing 777-300ER (B77W),,,0,0,0,7,3466,3653,13,2023
2020/2/21,AF198,Paris / Charles de Gaulle (CDG/LFPG),Shanghai / Pudong (PVG/ZSPD),20:45:00,16:45:00,14:00:00,Air France (AF/AFR),Boeing 777-300ER (B77W),,,0,0,0,1,509,3653,34,2023
2020/2/22,AF198,Paris / Charles de Gaulle (CDG/LFPG),Shanghai / Pudong (PVG/ZSPD),20:45:00,16:45:00,14:00:00,Air France (AF/AFR),Boeing 777-300ER (B77W),,,0,0,0,4,509,3653,34,2023
2020/6/11,AH3060,Algiers / Houari Boumediene (ALG/DAAG),Chengdu / Shuangliu (CTU/ZUUU),13:00:00,7:10:00,11:10:00,Air Algerie (AH/DAH),Airbus A330-200 (A332),,,0,0,0,4(from Oct),104,633,222,30
2020/3/10,AK116,Kuala Lumpur / Kuala Lumpur International (KUL/WMKK),Guangzhou / Canton-Baiyun (CAN/ZGGG),21:25:00,1:40:00,4:15:00,Air Asia (AK/AXM),Airbus A320-200 (A320),,,0,0,0,3,1527,478,103,2059
2020/3/25,AM9010,Mexico City / Juarez (MEX/MMMX),Tokyo / Narita (NRT/RJAA),6:25:00,9:46:00,13:21:00,Aeromexico (AM/AMX),Boeing 787-8 (B788),,,0,0,0,1,1800,2105,63,2087
2020/3/25,AM9010,Tokyo / Narita (NRT/RJAA),Shenzhen / Shenzhen Bao'an International Airport (SZX/ZGSZ),12:35:00,16:10:00,4:35:00,Aeromexico (AM/AMX),Boeing 787-8 (B788),,,0,0,0,1,2105,2844,63,2087
2019/11/12,AQ1008,Bangkok / Suvarnabhumi (BKK/VTBS),Guangzhou / Canton-Baiyun (CAN/ZGGG),1:00:00,5:00:00,3:00:00,9 Air (AQ/JYH),Boeing 737-800 (B738),,,0,0,0,5,331,478,1712,231
2019/11/11,AQ1008,Bangkok / Suvarnabhumi (BKK/VTBS),Guangzhou / Canton-Baiyun (CAN/ZGGG),1:00:00,5:00:00,3:00:00,9 Air (AQ/JYH),Boeing 737-800 (B738),,,0,0,0,1,331,478,1712,231
2020/5/1,AY105,Helsinki / Vantaa (HEL/EFHK),Nanjing / Nanjing (NKG/ZSNJ),18:55:00,8:55:00,9:00:00,Finnair (AY/FIN),Airbus A350-900 (A359),,,0,0,0,5,1110,2066,304,2110
2020/2/11,AY87,Helsinki / Vantaa (HEL/EFHK),Shanghai / Pudong (PVG/ZSPD),17:20:00,7:15:00,8:55:00,Finnair (AY/FIN),Airbus A350-900 (A359),,,0,0,0,4,1110,3653,304,2110
2020/2/11,BA169,London / Heathrow (LHR/EGLL),Shanghai / Pudong (PVG/ZSPD),14:50:00,8:55:00,11:05:00,British Airways (BA/BAW),Boeing 777-300ER (B77W),,,0,0,0,4,1618,3653,113,2023
2020/2/12,BA169,London / Heathrow (LHR/EGLL),Shanghai / Pudong (PVG/ZSPD),14:50:00,8:55:00,11:05:00,British Airways (BA/BAW),Boeing 777-200 (B772),,,0,0,0,,1618,3653,113,246
2019/11/25,BI639,Bandar Seri Begawan / Brunei (BWN/WBSB),Hangzhou / Xiaoshan (HGH/ZSHC),12:10:00,16:50:00,4:40:00,Royal Brunei Airlines (BI/RBA),Airbus A320neo (A20N),,,0,0,0,2(MNL-BWN-HGH),450,1121,638,2127
2019/12/21,BS325,Dhaka / Zia (DAC/VGZR),Guangzhou / Canton-Baiyun (CAN/ZGGG),22:10:00,3:50:00,3:40:00,British International Helicopters (BS/BIH),Boeing 737-800 (B738),,,0,0,0,6,670,478,130,231
2020/3/21,BX319,Seoul / Incheon (ICN/RKSI),Shenzhen / Shenzhen Bao'an International Airport (SZX/ZGSZ),8:50:00,11:20:00,3:30:00,Air Busan (BX/ABL),Airbus A321-200 (A321),,,0,0,0,5,3602,2844,1418,2076
2019/12/21,BX321,Pusan / Kimhae (PUS/RKPK),Qingdao / Liuting (TAO/ZSQD),10:35:00,11:35:00,2:00:00,Air Busan (BX/ABL),Airbus A321-200 (A321),,,0,0,0,4,2425,2854,1418,2076
2020/1/1,CA124,Seoul / Incheon (ICN/RKSI),Qingdao / Liuting (TAO/ZSQD),13:05:00,13:45:00,1:40:00,Air China (CA/CCA),Airbus A330-300 (A333),,,0,0,0,5,3602,2854,172,31
2020/5/11,CA140,Seoul / Incheon (ICN/RKSI),Hangzhou / Xiaoshan (HGH/ZSHC),13:20:00,14:15:00,1:55:00,Air China (CA/CCA),Airbus A330-200 (A332),,,0,0,0,2,3602,1121,172,30
2020/5/11,CA146,Tokyo / Narita (NRT/RJAA),Hangzhou / Xiaoshan (HGH/ZSHC),16:05:00,18:20:00,3:15:00,Air China (CA/CCA),Airbus A330 (A330),,,0,0,0,1,2105,1121,172,29
2019/11/21,CA180,Manila / Ninoy Aquino International (MNL/RPLL),Qingdao / Liuting (TAO/ZSQD),6:25:00,10:55:00,4:30:00,Air China (CA/CCA),Airbus A330 (A330),,,0,0,0,2,1898,2854,172,29
2019/11/1,CA404,Singapore / Changi (SIN/WSSS),Chengdu / Shuangliu (CTU/ZUUU),16:00:00,20:30:00,4:30:00,Air China (CA/CCA),Airbus A330-300 (A333),,,0,0,0,1,2672,633,172,31
2020/6/11,CA432,Frankfurt am Main / Frankfurt (FRA/EDDF),Chengdu / Shuangliu (CTU/ZUUU),20:00:00,11:50:00,9:50:00,Air China (CA/CCA),Airbus A330-200 (A332),,,0,0,0,4,919,633,172,30
2019/12/21,CA438,Kathmandu / Tribhuvan (KTM/VNKT),Chengdu / Shuangliu (CTU/ZUUU),12:20:00,17:55:00,2:35:00,Air China (CA/CCA),Airbus A330-200 (A332),,,0,0,0,1,1515,633,172,30
2020/1/1,CA722,Minsk / Minsk International (MSQ/UMMS),Hohhot / Baita (HET/ZBHH),18:20:00,7:35:00,8:15:00,Air China (CA/CCA),Airbus A330-200 (A332),,,0,0,0,5,1937,3702,172,30
2020/1/2,CA722,Minsk / Minsk International (MSQ/UMMS),Hohhot / Baita (HET/ZBHH),18:20:00,7:35:00,8:15:00,Air China (CA/CCA),Airbus A330-200 (A332),,,0,0,0,7,1937,3702,172,30
2020/1/1,CA738,Warsaw / Chopin (Okecie) (WAW/EPWA),Taiyuan / Wusu (TYN/ZBYN),21:10:00,11:10:00,8:00:00,Air China (CA/CCA),Airbus A330-200 (A332),,,0,0,0,5,3142,3060,172,30
2019/12/2,CA746,Phnom Penh / Pochentong (PNH/VDPP),Zhengzhou / Zhengzhou (CGO/ZHCC),1:10:00,6:10:00,4:00:00,Air China (CA/CCA),Airbus A321-200 (A321),,,0,0,0,7,2362,536,172,2076
2019/12/1,CA746,Phnom Penh / Pochentong (PNH/VDPP),Beijing / Peking-Capital (PEK/ZBAA),1:10:00,6:50:00,4:40:00,Air China (CA/CCA),Airbus A321-200 (A321),,,0,0,0,4,2362,2292,172,2076
2019/11/2,CA768,Singapore / Changi (SIN/WSSS),Hangzhou / Xiaoshan (HGH/ZSHC),16:35:00,21:55:00,5:20:00,Air China (CA/CCA),Airbus A330 (A330),,,0,0,0,5,2672,1121,172,29
2020/3/21,CA770,Los Angeles / Los Angeles International (LAX/KLAX),Shenzhen / Shenzhen Bao'an International Airport (SZX/ZGSZ),14:10:00,20:10:00,15:00:00,Air China (CA/CCA),Boeing 777-300 (B773),,,0,0,0,2,1559,2844,172,247
2020/1/1,CA842,Vienna / Schwechat (VIE/LOWW),Beijing / Peking-Capital (PEK/ZBAA),15:30:00,6:50:00,9:20:00,Air China (CA/CCA),Airbus A330-200 (A332),,,0,0,0,6,3179,2292,172,30
2020/2/5,CA850,London / Heathrow (LHR/EGLL),Shanghai / Pudong (PVG/ZSPD),12:30:00,6:30:00,11:00:00,Air China (CA/CCA),Boeing 777-300ER (B77W),,,0,0,0,5,1618,3653,172,2023
2020/1/2,CA864,Athens / Eleftherios Venizelos (ATH/LGAV),Chengdu / Shuangliu (CTU/ZUUU),22:15:00,13:00:00,9:45:00,Air China (CA/CCA),Airbus A330-200 (A332),,,0,0,0,3,3583,633,172,30
2020/1/1,CA864,Athens / Eleftherios Venizelos (ATH/LGAV),Beijing / Peking-Capital (PEK/ZBAA),22:15:00,12:30:00,9:15:00,Air China (CA/CCA),Airbus A330-200 (A332),,,0,0,0,7,3583,2292,172,30
2019/12/21,CA868,Johannesburg / Johannesburg (JNB/FAJS),Shenzhen / Shenzhen Bao'an International Airport (SZX/ZGSZ),10:10:00,5:20:00,13:10:00,Air China (CA/CCA),Boeing 777-300ER (B77W),,,0,0,0,3 (weekly chartered flight),1346,2844,172,2023
2020/1/2,CA878,Copenhagen / Kastrup (CPH/EKCH),Shijiazhuang / Shijiazhuang Daguocun International Airport (SJW/ZBSJ),20:45:00,11:40:00,8:55:00,Air China (CA/CCA),Airbus A330-200 (A332),,,0,0,0,3,606,4771,172,30
2020/1/1,CA878,Copenhagen / Kastrup (CPH/EKCH),Beijing / Peking-Capital (PEK/ZBAA),20:45:00,11:40:00,8:55:00,Air China (CA/CCA),Airbus A330-200 (A332),,,0,0,0,1,606,2292,172,30
2019/12/21,CA906,Yangon / Mingaladon (RGN/VYYY),Zhengzhou / Zhengzhou (CGO/ZHCC),14:00:00,19:40:00,3:40:00,Air China (CA/CCA),Boeing 737-800 (B738),,,0,0,0,7,2513,536,172,231
2019/12/22,CA906,Yangon / Mingaladon (RGN/VYYY),Zhengzhou / Zhengzhou (CGO/ZHCC),14:00:00,19:40:00,3:40:00,Air China (CA/CCA),Boeing 737-800 (B738),,,0,0,0,1,2513,536,172,231
2020/1/2,CA908,Madrid / Barajas (MAD/LEMD),Xian / Xianyang (XIY/ZLXY),18:30:00,11:25:00,10:55:00,Air China (CA/CCA),Boeing 747-400 (B744),,,0,0,0,1,1739,3280,172,237
2020/1/1,CA908,Madrid / Barajas (MAD/LEMD),Tianjin / Binhai (TSN/ZBTJ),16:20:00,8:45:00,10:25:00,Air China (CA/CCA),Boeing 747-400 (B744),,,0,0,0,6,1739,3023,172,237
2020/1/1,CA910,Moscow / Sheremetyevo (SVO/UUEE),Shijiazhuang / Shijiazhuang Daguocun International Airport (SJW/ZBSJ),18:45:00,7:25:00,7:40:00,Air China (CA/CCA),Boeing 777-300ER (B77W),,,0,0,0,5 (SJW/CGO/SHE/TAO/SHE/NKG),2816,4771,172,2023
2020/1/2,CA912,Stockholm / Arlanda (ARN/ESSA),Xian / Xianyang (XIY/ZLXY),19:10:00,9:40:00,8:30:00,Air China (CA/CCA),Airbus A330-200 (A332),,,0,0,0,7,3622,3280,172,30
2020/1/1,CA912,Stockholm / Arlanda (ARN/ESSA),Beijing / Peking-Capital (PEK/ZBAA),19:10:00,9:45:00,8:35:00,Air China (CA/CCA),Airbus A330-200 (A332),,,0,0,0,5,3622,2292,172,30
2020/2/5,CA930,Tokyo / Narita (NRT/RJAA),Shanghai / Pudong (PVG/ZSPD),16:55:00,19:10:00,3:15:00,Air China (CA/CCA),Airbus A330-300 (A333),,,0,0,0,4,2105,3653,172,31
2020/1/1,CA934,Paris / Charles de Gaulle (CDG/LFPG),Tianjin / Binhai (TSN/ZBTJ),20:20:00,12:25:00,10:05:00,Air China (CA/CCA),Boeing 777-300ER (B77W),,,0,0,0,3,509,3023,172,2023
2020/2/5,CA936,Frankfurt am Main / Frankfurt (FRA/EDDF),Shanghai / Pudong (PVG/ZSPD),20:00:00,12:55:00,10:55:00,Air China (CA/CCA),Boeing 777-300ER (B77W),,,0,0,0,6,919,3653,172,2023
2020/1/1,CA942,Dubai / Dubai International (DXB/OMDB),Xian / Xianyang (XIY/ZLXY),2:30:00,12:50:00,6:20:00,Air China (CA/CCA),Airbus A330-200 (A332),,,0,0,0,5,768,3280,172,30
2019/9/11,CA946,Karachi / Quaid E Azam (KHI/OPKC),Xian / Xianyang (XIY/ZLXY),23:55:00,9:00:00,6:05:00,Air China (CA/CCA),Airbus A330 (A330),,,0,0,0,5 - odd,1422,3280,172,29
2019/9/12,CA946,Islamabad / Benazir Bhutto International Airport (ISB/OPRN),Xian / Xianyang (XIY/ZLXY),18:00:00,9:00:00,4:40:00,Air China (CA/CCA),Airbus A330-200 (A332),,,0,0,0,5 - even,1277,3280,172,30
2019/9/1,CA948,Delhi / Indira Gandhi (DEL/VIDP),Taiyuan / Wusu (TYN/ZBYN),2:20:00,11:00:00,5:40:00,Air China (CA/CCA),Airbus A330 (A330),,,0,0,0,2,689,3060,172,29
2019/11/11,CA980,Bangkok / Suvarnabhumi (BKK/VTBS),Beijing / Peking-Capital (PEK/ZBAA),1:15:00,6:55:00,4:40:00,Air China (CA/CCA),Boeing 737-800 (B738),,,0,0,0,3,331,2292,172,231
2020/1/1,CA988,Los Angeles / Los Angeles International (LAX/KLAX),Tianjin / Binhai (TSN/ZBTJ),14:20:00,18:10:00,12:50:00,Air China (CA/CCA),Boeing 777-300ER (B77W),,,0,0,0,7,1559,3023,172,2023
2020/1/1,CA992,Vancouver / Vancouver (YVR/CYVR),Beijing / Peking-Capital (PEK/ZBAA),20:30:00,0:03:00,12:33:00,Air China (CA/CCA),Boeing 777-300ER (B77W),,,0,0,0,7,3466,2292,172,2023
2020/1/2,CA998,Vancouver / Vancouver (YVR/CYVR),Zhengzhou / Zhengzhou (CGO/ZHCC),13:50:00,17:30:00,12:40:00,Air China (CA/CCA),Boeing 777-300ER (B77W),,,0,0,0,6,3466,536,172,2023
2020/3/1,CZ304,London / Heathrow (LHR/EGLL),Guangzhou / Canton-Baiyun (CAN/ZGGG),22:35:00,16:35:00,11:00:00,China Southern Airlines (CZ/CSN),Airbus A380-800 (A388),,,0,0,0,,1618,478,207,39
2019/11/1,CZ3040,Singapore / Changi (SIN/WSSS),Guangzhou / Canton-Baiyun (CAN/ZGGG),17:50:00,21:35:00,3:45:00,China Southern Airlines (CZ/CSN),Boeing 787-9 (B789),,,0,0,0,2,2672,478,207,2088
2019/12/21,CZ3056,Yangon / Mingaladon (RGN/VYYY),Guangzhou / Canton-Baiyun (CAN/ZGGG),11:45:00,16:10:00,2:25:00,China Southern Airlines (CZ/CSN),Airbus A330 (A330),,,0,0,0,1,2513,478,207,29
2019/12/22,CZ3056,Yangon / Mingaladon (RGN/VYYY),Guangzhou / Canton-Baiyun (CAN/ZGGG),14:35:00,19:00:00,2:25:00,China Southern Airlines (CZ/CSN),Airbus A330 (A330),,,0,0,0,6,2513,478,207,29
2019/8/11,CZ306,Auckland / Mangere (AKL/NZAA),Guangzhou / Canton-Baiyun (CAN/ZGGG),1:20:00,9:20:00,12:00:00,China Southern Airlines (CZ/CSN),Boeing 787-9 (B789),,,0,0,0,7,93,478,207,2088
2019/8/12,CZ306,Auckland / Mangere (AKL/NZAA),Guangzhou / Canton-Baiyun (CAN/ZGGG),1:20:00,9:20:00,12:00:00,China Southern Airlines (CZ/CSN),Boeing 787-9 (B789),,,0,0,0,2,93,478,207,2088
2019/12/21,CZ3070,Hochiminh / Tan Son Nhat (SGN/VVTS),Guangzhou / Canton-Baiyun (CAN/ZGGG),12:25:00,16:10:00,2:45:00,China Southern Airlines (CZ/CSN),Boeing 787-9 (B789),,,0,0,0,7,2650,478,207,2088
2020/3/1,CZ308,Amsterdam / Schiphol (AMS/EHAM),Guangzhou / Canton-Baiyun (CAN/ZGGG),13:35:00,6:50:00,11:15:00,China Southern Airlines (CZ/CSN),Airbus A380-800 (A388),,,0,0,0,4,122,478,207,39
2020/3/2,CZ308,Amsterdam / Schiphol (AMS/EHAM),Guangzhou / Canton-Baiyun (CAN/ZGGG),13:35:00,6:50:00,11:15:00,China Southern Airlines (CZ/CSN),Airbus A380-800 (A388),,,0,0,0,2,122,478,207,39
2019/11/11,CZ3082,Bangkok / Suvarnabhumi (BKK/VTBS),Guangzhou / Canton-Baiyun (CAN/ZGGG),15:55:00,19:50:00,2:55:00,China Southern Airlines (CZ/CSN),Airbus A330-200 (A332),,,0,0,0,3,331,478,207,30
2019/11/12,CZ3082,Bangkok / Suvarnabhumi (BKK/VTBS),Guangzhou / Canton-Baiyun (CAN/ZGGG),15:55:00,19:50:00,2:55:00,China Southern Airlines (CZ/CSN),Airbus A330-200 (A332),,,0,0,0,7,331,478,207,30
2019/11/21,CZ3092,Manila / Ninoy Aquino International (MNL/RPLL),Guangzhou / Canton-Baiyun (CAN/ZGGG),11:55:00,14:25:00,2:30:00,China Southern Airlines (CZ/CSN),Airbus A330 (A330),,,0,0,0,4,1898,478,207,29
2020/3/3,CZ312,Toronto / Pearson (YYZ/CYYZ),Guangzhou / Canton-Baiyun (CAN/ZGGG),1:30:00,5:32:00,16:02:00,China Southern Airlines (CZ/CSN),Boeing 787-9 (B789),,,0,0,0,4,3500,478,207,2088
2020/3/3,CZ312,Toronto / Pearson (YYZ/CYYZ),Guangzhou / Canton-Baiyun (CAN/ZGGG),1:30:00,4:57:00,15:27:00,China Southern Airlines (CZ/CSN),Boeing 787-9 (B789),,,0,0,0,5 (临时2周？),3500,478,207,2088
2019/8/1,CZ326,Sydney / Kingsford Smith (SYD/YSSY),Guangzhou / Canton-Baiyun (CAN/ZGGG),21:30:00,5:15:00,9:45:00,China Southern Airlines (CZ/CSN),Airbus A380-800 (A388),,,0,0,0,7,2834,478,207,39
2019/8/2,CZ326,Sydney / Kingsford Smith (SYD/YSSY),Guangzhou / Canton-Baiyun (CAN/ZGGG),10:05:00,18:10:00,10:05:00,China Southern Airlines (CZ/CSN),Airbus A380-800 (A388),,,0,0,0,3,2834,478,207,39
2020/3/1,CZ328,Los Angeles / Los Angeles International (LAX/KLAX),Guangzhou / Canton-Baiyun (CAN/ZGGG),23:50:00,5:40:00,14:50:00,China Southern Airlines (CZ/CSN),Airbus A380-800 (A388),,,0,0,0,,1559,478,207,39
2020/3/2,CZ328,Los Angeles / Los Angeles International (LAX/KLAX),Guangzhou / Canton-Baiyun (CAN/ZGGG),23:50:00,5:40:00,14:50:00,China Southern Airlines (CZ/CSN),Airbus A380-800 (A388),,,0,0,0,,1559,478,207,39
2020/3/1,CZ330,Vancouver / Vancouver (YVR/CYVR),Guangzhou / Canton-Baiyun (CAN/ZGGG),12:50:00,15:50:00,12:00:00,China Southern Airlines (CZ/CSN),Boeing 787-9 (B789),,,0,0,0,,3466,478,207,2088
2020/3/2,CZ330,Vancouver / Vancouver (YVR/CYVR),Guangzhou / Canton-Baiyun (CAN/ZGGG),12:50:00,16:30:00,12:40:00,China Southern Airlines (CZ/CSN),Airbus A380-800 (A388),,,0,0,0,,3466,478,207,39
2020/3/1,CZ338,Seoul / Incheon (ICN/RKSI),Guangzhou / Canton-Baiyun (CAN/ZGGG),16:55:00,19:35:00,3:40:00,China Southern Airlines (CZ/CSN),Airbus A380-800 (A388),,,0,0,0,4 or 1,3602,478,207,39
